sample	jan_depth	snow_days
c_ll_po_0001	6.56350279990524	93.6190476190476
c_ll_po_0002	6.28316220698802	92.8571428571429
c_ll_po_0003	6.28349488889751	92.5238095238095
c_ll_po_0011	6.58484748764724	92.4761904761905
c_ll_po_0014	6.19097286267176	93.1428571428571
c_ll_po_0019	6.26535568666628	92.5238095238095
c_ll_po_0105	6.89609392185377	94.2857142857143
c_ll_po_0106	6.71153397991345	93.9047619047619
c_ll_po_0150	6.4021555743634	92.9523809523809
c_ll_la_0044	6.843540441643	105.666666666667
c_ll_la_0045	10.5420043424098	125.142857142857
c_ll_la_0047	11.5828751511465	128.809523809524
c_ll_la_0048	6.02275544272508	110.952380952381
c_ll_la_0052	5.79500628431983	106.714285714286
c_ll_la_0053	6.5937239411438	108.285714285714
c_ll_la_0054	11.0297517981429	130.714285714286
c_ll_no_0065	49.2954857515098	275
c_ll_no_0075	24.9144393239634	225.761904761905
c_ll_no_0076	14.45833985437	215.333333333333
c_ll_no_0077	21.1053792420951	219.285714285714
c_ll_no_0078	34.715102120442	202.380952380952
c_ll_no_0079	31.5760452438398	231.952380952381
c_ll_no_0080	42.0553023314795	265.857142857143
c_ll_no_0081	36.0953615298521	225.809523809524
c_ll_no_0082	33.7190196882237	220.714285714286
c_ll_ki_0090	42.8613098727203	183
c_ll_ki_0091	42.8613098727203	183
c_ll_ki_0092	42.8613098727203	183
c_ll_ki_0093	42.8613098727203	183
c_ll_ki_0094	42.8613098727203	183
c_ll_ki_0095	43.3844910950169	185.333333333333
c_ll_ki_0096	43.3844910950169	185.333333333333
c_ll_ki_0097	43.3844910950169	185.333333333333
c_ll_ki_0098	43.3844910950169	185.333333333333
c_ll_ki_0099	43.3844910950169	185.333333333333
c_ll_ki_0100	39.5289337134764	185
c_ll_ki_0101	39.5289337134764	185
c_ll_ki_0102	39.5289337134764	185
c_ll_vl_0107	16.2188372914752	191.619047619048
c_ll_vl_0108	27.620209603047	190.857142857143
c_ll_vl_0109	27.2203975230634	198.285714285714
c_ll_vl_0110	22.6290202570517	193.333333333333
c_ll_vl_0112	27.8635802902232	198.619047619048
c_ll_vl_0113	27.8635802902232	198.619047619048
c_ll_vl_0114	30.9793943386853	213.904761904762
c_ll_vl_0128	24.2228902648603	198.47619047619
c_ll_vl_0132	24.2228902648603	198.47619047619
c_ll_vl_0137	28.1839178314205	228.952380952381
c_ll_ya_0138	30.8675229002525	225.666666666667
c_ll_ya_0139	26.1728083151591	229.095238095238
c_ll_ya_0140	26.1728083151591	229.095238095238
c_ll_ya_0141	17.8237221735385	259.333333333333
c_ll_ya_0142	17.8237221735385	259.333333333333
c_ll_ya_0143	17.8237221735385	259.333333333333
c_ll_ya_0145	26.9636172260272	227.238095238095
c_ll_ya_0146	29.4044245088626	226.809523809524
c_ll_ya_0147	26.3633839667952	230.047619047619
c_ll_tu_0153	28.5074991804102	247.095238095238
c_ll_tu_0154	28.5074991804102	247.095238095238
c_ll_tu_0157	28.5074991804102	247.095238095238
c_ll_tu_0158	28.5074991804102	247.095238095238
c_ll_tu_0159	28.5074991804102	247.095238095238
c_ll_tu_0165	28.5074991804102	247.095238095238
c_ll_tu_0166	28.5074991804102	247.095238095238
c_ll_og_0181	1.28714129883211	134.714285714286
c_ll_ka_0184	9.69888219316223	217.047619047619
c_ll_ka_0186	10.3308048667441	217.952380952381
c_ll_og_0187	6.36924277909592	202.857142857143
c_ll_ka_0188	7.90393145160518	208.47619047619
c_ll_ka_0189	13.6662612371175	217.761904761905
c_ll_to_0190	4.44205837187401	206.857142857143
c_ll_to_0191	4.94766465063617	207.904761904762
c_ll_ur_0194	35.1086498210892	183.714285714286
c_ll_ur_0195	28.1051379838569	187.095238095238
c_ll_ur_0196	28.1051379838569	187.095238095238
c_ll_ur_0199	30.3409317231493	187.380952380952
c_ll_ur_0200	37.7047942435863	190.952380952381
c_ll_ur_0202	19.5088934777645	178.047619047619
c_ll_ur_0203	49.3315641705784	190.952380952381
c_ll_cr_0205	14.3455544264438	164.333333333333
c_ll_cr_0206	8.47403757534832	148.52380952381
c_ll_cr_0207	5.74569065383386	152.142857142857
c_ll_cr_0208	7.33924731230864	111.952380952381
c_ll_cr_0209	5.74569065383386	152.142857142857
c_ll_cr_0212	7.54187252945626	114.333333333333
c_ll_ba_0224	6.36802968356025	130.190476190476
c_ll_ba_0226	6.62959104190835	130.142857142857
c_ll_ba_0227	6.03637658931593	130.142857142857
c_ll_ba_0228	6.81276965223749	130.142857142857
c_ll_ba_0229	6.37066701295759	130.190476190476
c_ll_ba_0230	6.37066701295759	130.190476190476
c_ll_ca_0240	18.3961878796837	186.952380952381
c_ll_ca_0241	16.3675566995061	238.571428571429
c_ll_ca_0242	9.74602150530682	172.428571428571
c_ll_ca_0243	14.4916087757156	231.238095238095
c_ll_ca_0244	14.0964491633779	231.238095238095
c_ll_ca_0245	18.10370889753	238.52380952381
c_ll_ca_0247	10.0932678823209	219.238095238095
c_ll_ca_0248	41.8473818546594	319.714285714286
c_ll_ca_0252	36.7335144543308	319.714285714286
c_ll_ca_0254	17.4784397629313	186.380952380952
c_ll_ca_0259	16.6689329677686	237
c_ll_ca_0260	18.7940802889778	238.666666666667
